ans_str,query_str,idx_of_ans,idx_of_qns
"If you test positive on an Antigen Rapid Test (ART) self-test but are well, you do not need to report your results. Click here  for what to do next. If you become unwell at any time — e.g. with symptoms such as fever, cough, sore throat — see a doctor.","I have tested positive on my Antigen Rapid Test (ART) self-test. Do I need to report my results to MOH?",507,512
"If you have tested positive for COVID-19, but have no symptoms, i.e. you are well, you do not need to go to a clinic to take a test. You are to self-isolate for at least 72 hours from your positive test result. Thereafter, You may exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1. Click here to find out what to do next.","I have tested positive for COVID-19 but have no symptoms. Do I need to go to a clinic to take a PCR test?",396,401
"If you test positive for COVID-19, you must self-isolate for at least 72 hours and work from home even if you are physically well. Click here  to find out what to do if you are well but test positive for COVID-19. If working from home is not possible, your employer should treat the period of absence as paid sick leave – either paid outpatient sick leave or paid hospitalisation leave, without requiring a medical certificate. You should not be asked to take no-pay leave for the period of self-isolation. You may return to the workplace when you get a negative ART result after 72 hours. You may refer to MOM's advisory here .","My employer wants me to report to work as I have tested positive for COVID-19 but am well. What should I do?",395,400
"Self-isolate at home for the next 72 hours. Thereafter, take another test:  If you test negative: You may end your isolation and resume normal activities.  If you are unwell, e.g. with symptoms such as fever, cough, sore throat, see a doctor . Click here for more information on what to do when you are well but have tested positive for COVID-19.","I am well but I have tested positive for COVID-19. What should I do?",482,487
"You can exit isolation and leave your home if you test ART negative after 72 hours. However, if your symptoms worsen or do not improve with time, you are advised to visit the doctor you had originally consulted to seek further medical attention, even if your ART is negative. We strongly recommend that you minimise social interaction while feeling unwell, as part of being socially responsible.","I have tested ART negative, but I still feel unwell. Can I leave my home after my negative ART or do I have to wait for isolation to end?",829,834
"If you have previously been infected with COVID-19, you may continue to shed non-infectious parts of the virus intermittently, even after you have recovered. As a result, you may occasionally test positive on a Polymerase Chain Reaction (PCR) test, but with very low viral counts. COVID-19 patients may be assessed and considered non-infectious after taking into account: i) Presence of symptoms; ii) Viral load counts (Cycle-threshold values) of PCR tests; iii) Serology test results; iv) Vaccination status; and if applicable, iv) Completion of Stay Home Notice. Once informed that they are non-infectious by MOH, they may resume normal activities.","I tested positive but was informed by MOH that I am considered not infectious. Does this mean that I can resume normal activities?",564,569
"If you are well and test positive, or your condition has been assessed by a doctor to be mild, you will be able to self-administer an ART test after 72 hours and exit self-isolation if you test negative. ART tests can detect patients with high viral loads.  Those who tested ART negative are most likely to be non-infectious, hence if you tested ART negative you can exit self-isolation.","How can I be sure that I am no longer infectious when I exit self-isolation?",820,825
"Employees should immediately inform their employer when they test positive on ART and begin their self-isolation at home. There is no need to go to a doctor to get tested unless the employee is feeling unwell. Employers should not ask ART-positive but physically well employees to report to the workplace. Such employees should be allowed to work from home if they are able to do so. If working from home is not possible, employers should treat the period of absence as paid sick leave – either paid outpatient sick leave or paid hospitalisation leave, without requiring a medical certificate.&nbsp; Employees should not be asked to take no-pay leave for the period of self-isolation. Employees may return to the workplace when they get a negative ART result after 72 hours.","Do I need to get an MC for work if I test ART positive?",561,566
"You are not required but encouraged to take an Antigen Rapid Test (ART) daily to monitor your condition.&nbsp; However, you may only exit self-isolation and leave home to resume your normal activities if you test negative on a self-administrated ART.","After the first 72-hours of self-isolation, how often do I need to take an Antigen Rapid Test (ART)?",825,830
"You can resume normal activities if your self-administered ART result (after 72 hours) is negative.&nbsp;&nbsp; There is no need to change your MC as you are allowed to return back to work even before your MC ends, as long as you have a negative ART result after 72 hours.","I was given a 5-day MC to recover. I feel well and no longer have any symptoms.  Can I go back to work? Do I need my doctor to shorten my MC duration?",830,835
"With effect from 21 Jan 2022, if you are on Home Recovery Programme (HRP), there should be no need for a recovery memo. You can show your ART- result to your employer or school as proof of your recovery status after at least 72 hours. Schools and employers are to recognise it.&nbsp; You may exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1. Any additional swabs will be borne by the person who requests for it.&nbsp;","I was issued an MC to recover at home. My employer requires a negative result or a recovery memo before I can return to work. What should I do?",835,840
"You will receive an SMS from MOH and will be eligible to collect ART kits from vending machines located island-wide. Each person can withdraw a pack of 3 kits. We recommend getting a friend/relative to help collect your ART kits on your behalf, if possible. If you are tested positive and recovering at home, you do not need to upload your ART test results. If you are a close contact to a COVID-19 case and receive a Health Risk Notice (HRN) SMS, you must take an Antigen Rapid Test (ART) self-test.","I have been given an MC to recover at home. Can I collect free ART kits, and do I need to upload ART results daily?",834,839
"If you are still feeling unwell on the 5th day of your MC and require an extension, please consult your doctor.","I have been issued a 5-day MC. If I still test ART positive after 5 days,  will my doctor give me additional MC?",826,831
"Yes. If you had a positive ART test and your doctor had given you an MC to recover at home, your doctor will register your results. You will be accorded recovered status for purpose of exemptions from Rostered Routine Testing (RRT) and eligibility for Vaccination-Differentiated Safe Management Measures (VDS) upon being fully vaccinated. For recovered persons who have not completed their primary series vaccination regime, they will not be exempted from RRT and will only be eligible for 180 days to enter settings with VDS.","If I was given an MC to recover at home, will I be recognised as a recovered COVID-19 case?",828,833
"Yes, you may self-isolate with your household member in the same residence. You should have your own isolation room in the residence. Refrain from contact with each other. You should follow the protocols based on your respective conditions.","I’ve just tested positive. Can I isolate with my household member who is also positive?",563,568
"Check the rules and regulations of the host country and what may be required. If a discharge memo is required, please get this from your doctor.","I was given an MC to recover at home, but I need to travel. As a discharge memo is not provided, how do I certify that I have recovered from COVID-19?",836,841
"You should either order in food deliveries and/or seek the help of friends/relatives, as far as possible.  However, in the event no such help or delivery services are accessible, you can leave their home for such essential activities. Avoid crowded areas, minimize social interactions and take-away your food for home consumption (do not dine-in). When travelling, walk or use your own vehicle and avoid public transport. If transport is necessary, use a taxi or private hire car, sit at the back with your mask on and leave the car windows open.&nbsp;","If I have been issued an MC to recover at home, can I go out and buy food?",824,829
"You are encouraged to rest and self-isolate at home and you should only leave your house only when you need to seek medical attention, or to buy food or groceries. If your symptoms worsen or do not improve with time, please go back to see your doctor.","I received a 5-day MC from my doctor, does this mean I cannot go out/ can I leave the house?",819,824
"The isolation starts from the date of the first positive Polymerase Chain Reaction (PCR) and/ or Antigen Rapid Test (ART) result.&nbsp;","I am asymptomatic but tested ART-positive. I took a PCR test and have now tested positive for COVID-19 (C+). When is the start of my isolation?",566,571
"You are able to self-administer an ART after 72-hours of self-isolation.  If negative: end self-isolation and resume normal activities If positive: Continue to self-isolate and repeat ART test daily till result is negative, on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1.&nbsp;&nbsp;  Note:  Day 1 is taken as date of your positive healthcare-administered COVID-19 test","Do I have to go to a clinic for any ART or PCR test before I exit self-isolation?",833,838
"If you tested ART positive with your doctor, please exit only after 72 hours and having self-tested ART negative, and when your symptoms have resolved.&nbsp; If you still have symptoms but already self-tested ART negative, we strongly advise you to follow the doctor’s instructions and take the 5-day MC as needed to rest and self-isolate as much as possible so as to protect yourself and those around you. This will help curb the spread of infection by minimising movement in the community and remaining isolated at home.&nbsp; If you have symptoms again in future, please visit your doctor. Your doctor will assess and advise on the next steps.","I tested ART positive and my doctor gave me a 5 day MC to recover. Can I be discharged early if I feel well and test ART negative after 72 hours?",827,832
"You are to self-isolate for at least 72 hours. You are allowed to leave home / exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1.&nbsp;&nbsp; However, as part of socially responsible and civic-minded behaviour, do stay at home and minimise social interactions if you are on MC, or feel unwell and have symptoms.&nbsp; If your symptoms worsen or does not improve with time, please go back and see your doctor for further medical consultation.&nbsp; *Note: Day 1 is taken as date of first positive PCR/ART result.","If I have been issued an MC to recover at home, when can I be discharged and leave the house?",822,827
"If your symptoms worsen or do not improve with time, you are advised to visit the doctor you had originally consulted to seek further medical attention.&nbsp; If you have symptoms that require emergency medical attention, please call 995.","What should I do if I feel unwell during my self-isolation?",823,828
"Only individuals who have been assessed by their doctor to be low risk and have mild symptoms will be issued an MC by their medical practitioners to rest and recover at home. Low-risk individuals refer to 12-69 year olds regardless of vaccination status, who:  Are not immunocompromised or have a weakened immune system,&nbsp; Do not have severe chronic disease at high risk of deterioration,&nbsp; Are not pregnant,&nbsp; Are not overweight (Body Mass Index &gt;35 or weight &gt;100kg), and&nbsp; Do not have poorly controlled diabetes mellitus (DM). Are not diagnosed with HIV or AIDS Are not on dialysis Do not have a disease affecting your heart, lungs, kidneys, liver, or brain that required hospital admission in the last 6 months","Who will be issued an MC to recover at home?",814,819
"The recommended MC duration is 5 days. However, doctors can exercise clinical discretion to reduce or further extend the duration of the MC as appropriate. If your symptoms worsen or do not improve with time, please ask return to see your doctor.","I thought the MC given is supposed to be for 5-days, why did I receive more days of MC?",831,836
"If you have travelled overseas in the last 10 days, and test positive on an antigen rapid test (ART), you will need to undergo a confirmatory PCR test, which will be funded by the government. If you took your ART test as part of the requirements for inbound travel, please report the results as required, self-isolate and book a confirmatory PCR test at a Combined Test Centre as soon as possible, via https://go.gov.sg/traveller-pcr-confirmatory . Otherwise, please see a doctor at a Swab and Send Home Clinic and inform the doctor of your travel history and positive ART result when doing so.","If I have travelled overseas recently and have a positive antigen rapid test although asymptomatic, what should I do?",790,795
"Recovered persons who are well do not need to test within 90 days from their recent infection unless otherwise required.&nbsp;  If an ART is inadvertently taken within 28 days from recovery, and returns a positive result, the person does not need to isolate himself from the general public (i.e., need not undergo Protocol 2 again), as the risk of reinfection in such a short period is very unlikely. As a precaution, recovered persons with an ART positive result after 28 days from recovery should undergo Protocol 2.","I have recently completed the necessary isolation and recovered from COVID-19. However, I am tested +ve again. Do I have to undergo Protocol 2 again?",926,931
"In general, a fully vaccinated person is unlikely to be infectious from Day 7 and may exit self-isolation. Nonetheless, if you remain symptomatic and unwell, as an added precaution, you are advised to minimise social interactions where possible until you feel better. If your symptoms worsen or do not improve, please see a doctor or call 995 in emergency situations.","I am fully vaccinated. Can I still leave my home and carry on with my social activities after 12pm on Day 7 of isolation if I am still symptomatic*?",927,932
"In general, for individuals without fever in the past 24 hours and who have completed their isolation period, they can proceed with vaccination.","When should I or my child go for routine vaccinations, e.g influenza vaccination, after recovering from COVID-19?",925,930
"If you have a confirmed case in your household (who may be under Home Recovery), you will need to declare your status and register as a close contact at https://go.gov.sg/cplusform . This portal will require information such as the date of last interaction with the COVID-19 patient and your contact number.","What do household contacts need to do if there is a confirmed COVID-19 case in the household?",596,601
"As stated on the electronic Quarantine Order (eQO) or physical QO you received, you may leave the quarantine facility when you receive your negative exit Polymerase Chain Reaction (PCR) test result or by 1200hrs on the last day of your quarantine, whichever is later.","My quarantine is due to end. When am I allowed to leave?",617,622
"By default, you will serve your QO at a designated quarantine facility.","Where will I serve my Quarantine Order (QO)?",593,598
"A negative entry swab test result does not rule out the absence of COVID. As such, you will still be required to serve the entire duration of your quarantine period. The 10 days of isolation are necessary as it is the duration of the Delta variant of the COVID-19 virus incubation, and there may be a delayed onset of symptoms at any point during this period.","I tested negative on my quarantine entry PCR swab test. Can my quarantine be rescinded?",615,620
"A Quarantine Order (QO) is a legal order issued to individuals under the Infectious Diseases Act and thus has legal force with severe penalties for non-compliance. It is issued to quarantine or isolate an individual who is, or is suspected to be, a carrier of an infectious disease or is a contact of a person confirmed to have an infectious disease. This is done with the aim of limiting the spread of the virus in the community.","What is a Quarantine Order (QO)?",591,596
"If you are to be quarantined at a designated facility, the Quarantine Order (QO) Agent will typically call you within a day to inform you of the time for conveyance to a quarantine facility, after you have received an eQO via SMS. If you do not receive the call, you may call 6916 0190.","How long will it take for me to be conveyed to a quarantine facility?",602,607
"You will be quarantined for 10 days from the last date of exposure to a COVID-19 case.","How is the quarantine end date calculated?",612,617
"The Ministry of Health will bear the cost for all tests related to QO.","Who will pay for the cost of the testing regime under Quarantine Order(s)?",608,613
"The QO Agent contact you to verify details and provide further information if you are to be quarantined at a designated facility. If you have questions, you may call 6916 0190.","I received an SMS Quarantine Order (QO) notice, but have not received any other instructions from MOH. What should I do?",601,606
"If you have been placed on quarantine, please return to your place of residence immediately and isolate yourself from the rest of your household. MOH will contact you with further details and arrangements for your quarantine.","What must I do when I am being quarantined? How will it affect my household members?",595,600
"To minimise public health risk, please do not go for your vaccination when you are under quarantine. Spot checks will be carried out to ensure that you strictly adhere to the conditions under the Quarantine Order (QO) during the period specified. Please note that it is an offence if you do not comply with the conditions listed in your QO. If your vaccination appointment was made through: a. National Appointment System (NAS): Please fill up the FORM.SG form to reschedule your vaccination appointment. It can be as early as the last date of your QO provided that your exit swab test result is negative. b. Your Organisation/Company: Please make arrangements with your organisation/company to re-schedule the vaccination. It can be as early as the last date of your QO provided that your exit swab test result is negative. If you still have any other queries or require further clarification, please contact the MOH COVID-19 Hotline at 1800-333-9999.","I am on Quarantine Order (QO) but have a vaccination appointment. Should I still go for my vaccination?",606,611
"As a person under quarantine, you must not leave your designated quarantine location for any reason. If you require assistance for daily needs, you should arrange with your relatives / friends to purchase groceries and assist with your daily needs where necessary. If you urgently need to leave your place of isolation / home for matters requiring personal attention which cannot be postponed, you must first seek the permission of the Quarantine Order (QO) Agent. Spot checks will be carried out to ensure that you strictly adhere to the conditions under the Isolation / Quarantine Order during the period specified. If you are found to be non-compliant, the Director of Medical Services may require you to wear an electronic tag or order that you be detained and isolated in a hospital or in any other suitable place. It is an offence if you do not comply with the conditions listed in your QO.","I am on Quarantine Order (QO) but I need to go out to attend to urgent matters, what should I do?",605,610
"You may wish to: a. Write down the telephone number. b. Call MOH’s general hotline at 1800-333-9999 to verify if it is legitimate. Please note that MOH will not ask for your financial details when conducting contact tracing or divulge any details of confirmed cases. We will also not ask you to collect documents from MOH, unless you have existing business with MOH.","I have received a call from MOH/Certis saying that they are contacting me for quarantine purpose. How do I verify if that is true?",598,603
"Your quarantine status is independent of the recovery of the positive case. The duration of your quarantine is determined based on 10 days from your last date of exposure/contact with the positive case. This is because the incubation period of the Delta variant of the COVID-19 virus is 10 days and you might not yet display the signs/symptoms of an infection.","I was quarantined as I was identified to be a close contact of a positive case. The positive case has since recovered. Can my quarantine be rescinded?",616,621
"The quarantine end date is calculated based on the individual’s last date of exposure to a COVID-19 case.","I know of individuals who serve shorter duration of quarantine than me. Why is this so?",613,618
"If you have received an electronic Quarantine Order (eQO) via SMS, you may forward it to your employer/school. Otherwise, if you have received a physical QO from the QO Agent, you may show the physical QO to your employer/school.","I need to inform my employer/school about my quarantine. I would like to request for a copy of my Quarantine Order (QO).",603,608
"You are under quarantine as you were identified as a close contact of a COVID-19 case. Going by MOH’s prevailing definition of a “close contact”, this means that you were in close proximity to a COVID case during his/her infectious period for a significant period of time. Due to patient confidentiality, we are unable to disclose the identity of the COVID case.&nbsp;","Why am I under quarantine? How was I identified as a close contact of a COVID-19 case?",592,597
"If you have been informed by MOH that you had close contact with a confirmed COVID-19 case and will be placed on quarantine, please return to your place of residence immediately and isolate yourself from the rest of your household. MOH will contact you with further details and arrangements for your quarantine.","I have been informed by MOH that I was in close contact with a confirmed COVID-19 case and need to be quarantined. What should I do?",600,605
"No. While the Antigen Rapid Test (ART) self-test provides a quick and easy way for persons to get self-tested in their own homes, the test results are still less accurate as compared to a Polymerase Chain Reaction (PCR) test. Hence, persons under quarantine (PUQs) are required to take a PCR entry test to prevent infecting others.","I am a Person under Quarantine (PUQ). Can I opt for an ART self-test in place of my PCR entry test?",610,615
"If you have cause to doubt the authenticity of the SMS message you have received, you can verify your QO status by calling 6916 0190 or call MOH’s general hotline at 1800-333-9999.","I received a SMS stating that I am under a Quarantine Order. Is this legitimate?",597,602
"Persons issued with a Quarantine Order (QO) are individuals assessed to have had close contact with a confirmed case, and they are generally well and have no symptoms. We would advise you to monitor your health closely. You may wish to self-administer an Antigen Rapid Test (ART) self-test. If you have fever, cough or runny nose, put on a mask and see a doctor . Call the clinic ahead of your visit and inform the doctor of your symptoms as well as your travel history, if any.","I have been in recent contact with someone who has been issued a Quarantine Order (QO). What should I do?",599,604
"If you have a SingPass account*, you may login to the HealthHub page  to access your test results, the test results will usually be available within one to two days of your swab test. *Singapore Citizens and Permanent Residents, Passholders (Employment Pass, EntrePass, S-Pass, Dependent Pass, Long Term Visit Pass Plus), and selected Work Permit Holders are eligible for SingPass. Please refer to this link  for instructions.","I am a Person under Quarantine (PUQ). When will I get my swab test results? How will I be informed of the result?",611,616
"If you are unemployed and quarantined, and you need social or financial assistance, please contact the Quarantine Order (QO) Agent for further assistance.","If I am unemployed and on Quarantine Order (QO), who can I go to for social and financial assistance?",604,609
"All Persons Under Quarantine (PUQs) will be tested for COVID-19 during their Quarantine Order (QO) period. There will be an entry Polymerase Chain Reaction (PCR) swab test scheduled at the start of QO period for early detection of possible infection, and an exit PCR swab test will be scheduled before the QO ends to prevent potential transmission should you be infected. The swab tests are mandatory under the Infectious Diseases Act (IDA) to ensure that these persons do not pose any public health risks before re-entering the community.","Why do I need to take a swab test under Quarantine Order (QO)? Is it mandatory? What tests am I required to undergo?",607,612
"Swab tests for PUQs at quarantine facilities are conducted on-site.&nbsp;","I have been served a Quarantine Order (QO). How do I get tested?",609,614
"Your quarantine may be extended because you have been identified as a close contact of another confirmed COVID-19 case, or if you have not gone for your entry or exit Polymerase Chain Reaction (PCR) swab test by the last day of your quarantine.","Why is my quarantine extended? Is it possible that I would be able to end my quarantine earlier?",618,623
"A Quarantine Order (QO) may be served electronically via SMS (eQO) to individuals with a valid local mobile number. Individuals without a valid local mobile number will be served physical QOs.","Why are there different formats of Quarantine Order (QO), i.e. electronic Quarantine Order (eQO), physical QO, etc.?",594,599
"Please call 6916 0190 to obtain a confirmation of your quarantine extension.","I have been informed that my quarantine has been extended and I would like to get a confirmation.",614,619
"Persons who are immunocompromised and have received a three-dose enhanced primary series are recommended to receive a booster dose of a PSAR mRNA vaccine (i.e. a fourth dose of the vaccine). These persons can receive the booster dose from five months after completing the three-dose primary series.","Persons who are immunocompromised are already required to receive 3 doses as part of the primary series. Do they need to receive a booster as well?",849,854
"Yes, the EC19V has assessed that the benefits of another dose of the vaccine outweigh the risks for the recommended groups. There is now good international data that a booster dose of the vaccine is safe, enhances protection against COVID-19 infection and ensures continued excellent protection against severe disease. Most side effects are mild or moderate, and usually get better within a few days.  As with all vaccines and medications, there is a small risk of serious adverse events. Countries which have been providing booster doses have not reported any safety concerns.","Is a booster dose safe?",851,856
"Such certificates are tamper-proof and come with QR codes or other digital security features that can be used to verify their authenticity.&nbsp;","Why is serology testing not required for holders of digitally verifiable vaccination certificates?",888,893
"No, serology testing needs to be done in Singapore.","Will the results of serology testing done overseas be accepted in Singapore?",860,865
"You should follow the prevailing guidance for HRN during the 5-day HRN period i.e. take an ART self-test within 24 hours and continue with normal activities for the day if the test result is negative. Please also continue to attend your dialysis session in your usual renal dialysis centre, and submit your ART test a day before your scheduled dialysis session.","I am a dialysis patient. I received a Health Risk Notice (HRN) via SMS. Can I go for my dialysis session?",903,908
